año,marca,modelo
2020,Chevrolet,Sonic LT
2018,BMW,430i Gran Coupe xDrive
2018,Kia,Soul +
2024,BMW,i4 M50
2023,Toyota,Corolla GR
2021,Mitsubishi,Mirage ES
2023,Acura,Integra A-Spec
2014,Kia,Soul +
2010,Toyota,Prius Five
2013,Hyundai,Elantra GT
2017,Chevrolet,Volt Premier
2025,Toyota,Corolla SE
2022,Kia,Soul LX
2020,Tesla,Model S Performance
2018,Tesla,Model S 75D
2019,BMW,430i Gran Coupe
2022,Tesla,Model S
2015,MINI,Cooper S
2016,Toyota,Prius Four Touring
2020,Nissan,Leaf SL Plus
2015,FIAT,500L Trekking
2012,Toyota,Prius Two
2024,BMW,i4 xDrive40i
2013,FIAT,500 Abarth
2013,Volkswagen,Golf R 4-Door
2018,Volkswagen,GTI S
2024,Kia,Soul EX
2024,Toyota,Prius Prime Premium
2015,Ford,Fiesta ST
2017,Kia,Soul EV
Certified,2023,Toyota Corolla GR
2014,Chevrolet,Volt
2019,Kia,Soul
2005,MINI,Cooper S
2007,Volkswagen,Beetle Coupe w/ Year End Package
Certified,2021,Porsche Panamera 4
2018,Volkswagen,GTI SE
Certified,2024,Toyota Corolla GR
2008,Honda,Fit Sport
2006,MAZDA,MAZDA3 s Touring
2024,Kia,Soul GT-Line
Certified,2023,Porsche Panamera
2014,BMW,335i Gran Turismo xDrive
2023,Porsche,Panamera 4S
Certified,2022,Porsche Panamera 4
Certified,2023,Mercedes-Benz EQS 450+ 4MATIC SUV
2020,Toyota,Prius LE
2023,Kia,Soul LX
2023,Tesla,Model S
Certified,2023,Mercedes-Benz EQS 450+ Sedan
2024,Honda,Civic Type R
2019,MINI,Cooper S
2023,Kia,Soul LX
2024,Audi,A5 2.0T Premium
2024,Audi,A5 2.0T Premium Plus
Certified,2024,MAZDA MAZDA3 Hatchback
2020,Chevrolet,Sonic LT
2017,Chevrolet,Volt LT
2021,Honda,Civic Type R
2023,Toyota,Corolla GR
